keywords,label,word_label_count,freq
3D printing,term,116.0,117
5G,term,679.0,679
ABL,com,106.0,116
ABS,org,38.0,108
AEHF,satellite,122.0,138
AFRL,org,225.0,225
AI,term,307.0,307
ASAT,term,99.0,141
ASI,org,70.0,109
AST,org,139.0,160
AST SpaceMobile,com,150.0,152
AWS,com,75.0,140
Aerojet,com,203.0,203
Aerojet Rocketdyne,com,350.0,350
Aerospace Corp.,com,93.0,133
Africa,loc,355.0,355
Air Force,org,6427.0,6428
Air Force Research Laboratory,org,189.0,189
Air Force Space Command,org,346.0,346
Air Force Space and Missile Systems Center,org,211.0,211
Airbus,com,876.0,882
Airbus Defence and Space,com,295.0,310
Aireon,com,151.0,153
Alabama,loc,157.0,157
Alaska,loc,245.0,245
Alpha,satellite,88.0,182
Amazon,com,457.0,465
America,loc,519.0,519
American,loc,1193.0,1198
Americans,loc,172.0,173
Americas,loc,138.0,142
Antares,rocket,110.0,188
Apollo,satellite,68.0,329
Apple,com,116.0,116
Arctic,loc,190.0,193
Ariane 5,rocket,515.0,680
Ariane 6,rocket,296.0,622
ArianeGroup,com,222.0,222
Arianespace,com,1197.0,1201
Army,org,521.0,521
Artemis,term,325.0,739
Artemis 1,satellite,125.0,188
Asia,loc,178.0,179
Asia-Pacific,loc,127.0,132
AsiaSat,satellite,14.0,146
Astra,com,576.0,592
Astranis,com,211.0,220
Astrobotic,com,260.0,268
Astrocast,com,125.0,132
Astroscale,com,362.0,363
Atlantic Ocean,loc,126.0,126
Atlas,rocket,40.0,130
Atlas 5,rocket,658.0,750
Australia,loc,487.0,487
Australian,loc,259.0,259
Avanti,com,172.0,173
Avio,com,314.0,315
Axiom,com,296.0,307
Axiom Space,com,240.0,243
BE-4,satellite,181.0,219
Baikonur Cosmodrome,term,4.0,101
Ball Aerospace,com,144.0,144
Beijing,loc,159.0,159
Bezos,com,140.0,140
Biden,com,17.0,145
Biden administration,org,114.0,116
BlackSky,com,372.0,442
Blackjack,satellite,279.0,280
Blue Canyon Technologies,com,114.0,114
Blue Origin,com,2113.0,2113
Boca Chica,loc,113.0,132
Boeing,com,2479.0,2479
Brazil,loc,235.0,235
Bridenstine,com,443.0,515
British,loc,715.0,719
C-Band Alliance,org,178.0,247
C-band,term,657.0,670
CALT,org,90.0,109
CAPSTONE,term,14.0,135
CASC,org,562.0,581
CASIC,org,63.0,158
CASIS,org,127.0,128
CLPS,term,164.0,207
CNES,org,231.0,232
COVID,term,90.0,102
COVID-19,term,256.0,315
CSF,org,101.0,106
CST-100 Starliner,satellite,183.0,183
California,loc,1246.0,1246
Canada,loc,675.0,675
Canadian,loc,766.0,766
